normalized_location,country,status
"cirencester, united kingdom",United Kingdom,direct_match
"citta di castello, italy",Italy,direct_match
"city island, new york",Unknown,unknown_fallback_cache
"claygate, united kingdom",United Kingdom,direct_match
"clayton, australia",Australia,direct_match
"clayton, california",Unknown,unknown_fallback_cache
"clearwater, florida",Unknown,unknown_fallback_cache
cleethorpes,Unknown,unknown_fallback_cache
"cleobury mortimer, united kingdom",United Kingdom,direct_match
"cleveland, ohio",Unknown,unknown_fallback_cache
"clichy, france",France,direct_match
"clifton hill, australia",Australia,direct_match
"clitheroe, united kingdom",United Kingdom,direct_match
"clovis, california",Unknown,unknown_fallback_cache
"cluj-napoca, romania",Romania,direct_match
"cobham, united kingdom",United Kingdom,direct_match
"coeur d alene, idaho",Unknown,unknown_fallback_cache
"coffs harbour, australia",Australia,direct_match
coimbatore,Unknown,unknown_fallback_cache
"coimbatore, india",India,direct_match
"coimbra, portugal",Portugal,direct_match
"colchester, united kingdom",United Kingdom,direct_match
"collaroy beach, australia",Australia,direct_match
"collie, australia",Australia,direct_match
